# wavelength gray-matter-mu_a gray-matter-mu_s blood-vessel-mu_a blood-vessel-mu_s diffuse-reflectance gray-matter-pathlength blood-vessel-pathlength total-pl
4.500000000000000000e+02 1.254812692243104433e+00 3.766290305540587013e+01 3.345335804822663306e+01 3.628350788461502674e+01 1.502801249088660729e-03 1.951799121253763522e-02 3.942196359899698827e-02 5.893995481153462002e-02
4.750000000000000000e+02 5.354560555929774868e-01 3.186989901164654526e+01 1.411856413568777668e+01 3.501158279516494787e+01 9.814107798100553393e-03 5.630026724217156442e-01 1.720211951408333606e-01 7.350238675625490048e-01
5.000000000000000000e+02 3.968420865902183570e-01 2.719999999999999574e+01 1.066173599869218336e+01 3.384615384615387512e+01 1.946533197901495482e-02 8.553611917435470779e-01 1.985648288714539356e-01 1.053926020615000958e+00
5.250000000000000000e+02 5.769149745571845456e-01 2.339457496032865080e+01 1.636769742431454944e+01 3.277361795488656782e+01 5.981486149816607305e-03 5.169502257522896604e-01 1.498869355012523441e-01 6.668371612535419768e-01
5.500000000000000000e+02 8.870067740378528853e-01 2.026314721129457297e+01 2.613427280238558481e+01 3.178265341252011922e+01 1.892109987903059162e-03 1.084604407587449193e-01 6.526452827340765983e-02 1.737249690321525653e-01
5.750000000000000000e+02 1.020626108973474055e+00 1.766335815860983161e+01 2.966180228847454714e+01 3.086375405563401486e+01 1.484774845283072606e-03 5.038943903740216584e-02 4.795545990406056142e-02 9.834489894146272726e-02
6.000000000000000000e+02 1.422699870374032061e-01 1.548738287483281262e+01 3.311510525958072382e+00 3.000887412137990040e+01 1.203237266157440588e-01 2.393497558418366644e+00 2.635697582635034286e-01 2.657067316681870128e+00
6.250000000000000000e+02 3.976196864953419896e-02 1.365255308441155790e+01 8.152941425315370916e-01 2.921115408605547970e+01 3.660897831220092380e-01 5.918927343318002521e+00 4.151879050839121232e-01 6.334115248401914755e+00
6.500000000000000000e+02 2.702776112261290331e-02 1.209477765119086179e+01 5.585377120197799750e-01 2.846470659850132279e+01 4.349743010926180875e-01 8.029905677477630732e+00 4.644964447291026755e-01 8.494402122206732741e+00
6.750000000000000000e+02 2.205484639116308057e-02 1.076385634847019901e+01 4.740902634772800051e-01 2.776444758583597050e+01 4.613156618131529774e-01 9.611114144253926739e+00 4.839727890004769661e-01 1.009508693325440376e+01
7.000000000000000000e+02 1.755314212952822223e-02 9.620095909005653922e+00 3.790464422910124753e-01 2.710596171786939834e+01 4.954173270851148780e-01 1.168150554855148116e+01 5.100093338056742587e-01 1.219151488235715597e+01
7.250000000000000000e+02 1.823492626094214142e-02 8.631835298921259891e+00 3.600140211605299956e-01 2.648539429066111950e+01 4.848517808908987536e-01 1.204889719151950978e+01 5.084102595594884866e-01 1.255730745107899793e+01
7.500000000000000000e+02 2.090653737838931575e-02 7.773614589605202241e+00 4.263140095501599669e-01 2.589936362911980439e+01 4.436828380432649710e-01 1.156115850342991891e+01 4.820186784405674496e-01 1.204317718187048669e+01
7.750000000000000000e+02 2.190700851650164219e-02 7.024805244661185277e+00 4.377395065987949030e-01 2.534488957491155148e+01 4.252690704754122364e-01 1.175199292124355033e+01 4.727952673744199585e-01 1.222478818861796945e+01
8.000000000000000000e+02 2.263562008524028224e-02 6.368575145649503888e+00 4.495814681898999687e-01 2.481933469323314867e+01 4.084096532090461529e-01 1.202894769440265144e+01 4.642845228599765117e-01 1.249323221726262823e+01
8.250000000000000000e+02 2.562781063878238202e-02 5.791099146802852538e+00 5.207495765449200453e-01 2.432035561767923326e+01 3.715211708578584071e-01 1.156438803774518931e+01 4.410273136614037970e-01 1.200541535140659377e+01
8.500000000000000000e+02 2.884704558331714283e-02 5.280951584257449483e+00 5.808393549129650113e-01 2.384586253692904023e+01 3.392263997455274849e-01 1.115757750196523190e+01 4.219309645753189786e-01 1.157950846654055077e+01
8.750000000000000000e+02 3.074128350772162982e-02 4.828634929221696126e+00 6.316706081604601675e-01 2.339398526610964524e+01 3.156049836916803297e-01 1.111662995722882386e+01 4.078383277701266296e-01 1.152446828499895126e+01
9.000000000000000000e+02 3.300030487363321552e-02 4.426211230536843289e+00 6.682864835186900221e-01 2.296304467866205101e+01 2.939880270729595124e-01 1.103415885024530141e+01 3.963515185131052387e-01 1.143051036875840687e+01
9.250000000000000000e+02 3.658568271075746114e-02 4.067011823709935747e+00 6.785648355165700973e-01 2.255152852919461282e+01 2.726943188895430414e-01 1.074670286431979704e+01 3.876803567676035400e-01 1.113438322108740053e+01
9.500000000000000000e+02 5.007073570563662368e-02 3.745407110915146554e+00 6.624386915970750245e-01 2.215807089415821807e+01 2.316553620578866712e-01 9.201843139667069238e+00 3.750385870846433822e-01 9.576881726751713231e+00
9.750000000000000000e+02 6.100316637701624911e-02 3.456622794387068431e+00 6.169000544964300392e-01 2.178143460972792056e+01 2.055386464261597657e-01 8.424528740695160778e+00 3.696931795203666216e-01 8.794221920215527177e+00
9.990000000000000000e+02 5.144159446570611971e-02 3.206486784360333964e+00 5.451805508386201593e-01 2.143464547770826556e+01 2.214479952399583118e-01 9.716742457517751674e+00 3.814326192440715135e-01 1.009817507676182302e+01
