# wavelength pathlength
4.500000000000000000e+02 5.893995481153462002e-02
4.510000000000000000e+02 8.598331132157518986e-02
4.520000000000000000e+02 1.130266678316157736e-01
4.530000000000000000e+02 1.400700243416563295e-01
4.540000000000000000e+02 1.671133808516969133e-01
4.550000000000000000e+02 1.941567373617374970e-01
4.560000000000000000e+02 2.212000938717780807e-01
4.570000000000000000e+02 2.482434503818186644e-01
4.580000000000000000e+02 2.752868068918592481e-01
4.590000000000000000e+02 3.023301634018998318e-01
4.600000000000000000e+02 3.293735199119404156e-01
4.610000000000000000e+02 3.564168764219809993e-01
4.620000000000000000e+02 3.834602329320215275e-01
4.630000000000000000e+02 4.105035894420621112e-01
4.640000000000000000e+02 4.375469459521026949e-01
4.650000000000000000e+02 4.645903024621432786e-01
4.660000000000000000e+02 4.916336589721838624e-01
4.670000000000000000e+02 5.186770154822244461e-01
4.680000000000000000e+02 5.457203719922649743e-01
4.690000000000000000e+02 5.727637285023055025e-01
4.700000000000000000e+02 5.998070850123461417e-01
4.710000000000000000e+02 6.268504415223866699e-01
4.720000000000000000e+02 6.538937980324273092e-01
4.730000000000000000e+02 6.809371545424678374e-01
4.740000000000000000e+02 7.079805110525083656e-01
4.750000000000000000e+02 7.350238675625490048e-01
4.760000000000000000e+02 7.477799536846471140e-01
4.770000000000000000e+02 7.605360398067451122e-01
4.780000000000000000e+02 7.732921259288432214e-01
4.790000000000000000e+02 7.860482120509413306e-01
4.800000000000000000e+02 7.988042981730394398e-01
4.810000000000000000e+02 8.115603842951374380e-01
4.820000000000000000e+02 8.243164704172355473e-01
4.830000000000000000e+02 8.370725565393336565e-01
4.840000000000000000e+02 8.498286426614316547e-01
4.850000000000000000e+02 8.625847287835297639e-01
4.860000000000000000e+02 8.753408149056278731e-01
4.870000000000000000e+02 8.880969010277259823e-01
4.880000000000000000e+02 9.008529871498239805e-01
4.890000000000000000e+02 9.136090732719220897e-01
4.900000000000000000e+02 9.263651593940201989e-01
4.910000000000000000e+02 9.391212455161181971e-01
4.920000000000000000e+02 9.518773316382163063e-01
4.930000000000000000e+02 9.646334177603144155e-01
4.940000000000000000e+02 9.773895038824125248e-01
4.950000000000000000e+02 9.901455900045106340e-01
4.960000000000000000e+02 1.002901676126608521e+00
4.970000000000000000e+02 1.015657762248706852e+00
4.980000000000000000e+02 1.028413848370804740e+00
4.990000000000000000e+02 1.041169934492902849e+00
5.000000000000000000e+02 1.053926020615000958e+00
5.010000000000000000e+02 1.038442466240542705e+00
5.020000000000000000e+02 1.022958911866084231e+00
5.030000000000000000e+02 1.007475357491625978e+00
5.040000000000000000e+02 9.919918031171675032e-01
5.050000000000000000e+02 9.765082487427091396e-01
5.060000000000000000e+02 9.610246943682507759e-01
5.070000000000000000e+02 9.455411399937924122e-01
5.080000000000000000e+02 9.300575856193340485e-01
5.090000000000000000e+02 9.145740312448757958e-01
5.100000000000000000e+02 8.990904768704173211e-01
5.110000000000000000e+02 8.836069224959590684e-01
5.120000000000000000e+02 8.681233681215005937e-01
5.130000000000000000e+02 8.526398137470423411e-01
5.140000000000000000e+02 8.371562593725839774e-01
5.150000000000000000e+02 8.216727049981256137e-01
5.160000000000000000e+02 8.061891506236672500e-01
5.170000000000000000e+02 7.907055962492088863e-01
5.180000000000000000e+02 7.752220418747505226e-01
5.190000000000000000e+02 7.597384875002921589e-01
5.200000000000000000e+02 7.442549331258337952e-01
5.210000000000000000e+02 7.287713787513754315e-01
5.220000000000000000e+02 7.132878243769170679e-01
5.230000000000000000e+02 6.978042700024587042e-01
5.240000000000000000e+02 6.823207156280003405e-01
5.250000000000000000e+02 6.668371612535419768e-01
5.260000000000000000e+02 6.471126735646863803e-01
5.270000000000000000e+02 6.273881858758307839e-01
5.280000000000000000e+02 6.076636981869752985e-01
5.290000000000000000e+02 5.879392104981197020e-01
5.300000000000000000e+02 5.682147228092641056e-01
5.310000000000000000e+02 5.484902351204085091e-01
5.320000000000000000e+02 5.287657474315529127e-01
5.330000000000000000e+02 5.090412597426974273e-01
5.340000000000000000e+02 4.893167720538418308e-01
5.350000000000000000e+02 4.695922843649862344e-01
5.360000000000000000e+02 4.498677966761306379e-01
5.370000000000000000e+02 4.301433089872750415e-01
5.380000000000000000e+02 4.104188212984195006e-01
