# wavelength pathlength
4.500000000000000000e+02 2.293035129254825458e-02
4.510000000000000000e+02 6.447511370070546644e-02
4.520000000000000000e+02 1.045172494104466832e-01
4.530000000000000000e+02 1.431028853296616166e-01
4.540000000000000000e+02 1.802781483662400375e-01
4.550000000000000000e+02 2.160891654280716334e-01
4.560000000000000000e+02 2.505820634230463417e-01
4.570000000000000000e+02 2.838029692590535169e-01
4.580000000000000000e+02 3.157980098439831518e-01
4.590000000000000000e+02 3.466133120857249339e-01
4.600000000000000000e+02 3.762950028921687173e-01
4.610000000000000000e+02 4.048892091712039676e-01
4.620000000000000000e+02 4.324420578307206497e-01
4.630000000000000000e+02 4.589996757786083958e-01
4.640000000000000000e+02 4.846081899227566714e-01
4.650000000000000000e+02 5.093137271710558300e-01
4.660000000000000000e+02 5.331624144313951152e-01
4.670000000000000000e+02 5.562003786116646031e-01
4.680000000000000000e+02 5.784737466197533706e-01
4.690000000000000000e+02 6.000286453635519379e-01
4.700000000000000000e+02 6.209112017509497150e-01
4.710000000000000000e+02 6.411675426898363339e-01
4.720000000000000000e+02 6.608437950881016487e-01
4.730000000000000000e+02 6.799860858536354025e-01
4.740000000000000000e+02 6.986405418943272272e-01
4.750000000000000000e+02 7.168532901180666439e-01
4.760000000000000000e+02 7.346704574327441728e-01
4.770000000000000000e+02 7.521381707462486688e-01
4.780000000000000000e+02 7.693025569664704300e-01
4.790000000000000000e+02 7.862097430012989774e-01
4.800000000000000000e+02 8.029058557586237210e-01
4.810000000000000000e+02 8.194370221463348480e-01
4.820000000000000000e+02 8.358493690723223235e-01
4.830000000000000000e+02 8.521890234444753354e-01
4.840000000000000000e+02 8.685021121706837377e-01
4.850000000000000000e+02 8.848347621588372736e-01
4.860000000000000000e+02 9.012331003168260191e-01
4.870000000000000000e+02 9.177432535525389401e-01
4.880000000000000000e+02 9.344113487738665569e-01
4.890000000000000000e+02 9.512835128886982794e-01
4.900000000000000000e+02 9.684058728049236286e-01
4.910000000000000000e+02 9.857810504297398468e-01
4.920000000000000000e+02 1.003237647667571952e+00
4.930000000000000000e+02 1.020560761422152574e+00
4.940000000000000000e+02 1.037535488597213229e+00
4.950000000000000000e+02 1.053946926096486880e+00
4.960000000000000000e+02 1.069580170823705823e+00
4.970000000000000000e+02 1.084220319682602129e+00
4.980000000000000000e+02 1.097652469576908318e+00
4.990000000000000000e+02 1.109661717410356463e+00
5.000000000000000000e+02 1.120033160086679080e+00
5.010000000000000000e+02 1.128551894509608466e+00
5.020000000000000000e+02 1.135003017582877360e+00
5.030000000000000000e+02 1.139171626210216726e+00
5.040000000000000000e+02 1.140842817295360634e+00
5.050000000000000000e+02 1.139801687742039826e+00
5.060000000000000000e+02 1.135833334453987709e+00
5.070000000000000000e+02 1.128722854334936354e+00
5.080000000000000000e+02 1.118255344288617392e+00
5.090000000000000000e+02 1.104215901218764007e+00
5.100000000000000000e+02 1.086389622029108271e+00
5.110000000000000000e+02 1.064657005550682323e+00
5.120000000000000000e+02 1.039280158323719450e+00
5.130000000000000000e+02 1.010616588815753225e+00
5.140000000000000000e+02 9.790238054943154467e-01
5.150000000000000000e+02 9.448593168269402431e-01
5.160000000000000000e+02 9.084806312811608553e-01
5.170000000000000000e+02 8.702452573245095246e-01
5.180000000000000000e+02 8.305107034245199360e-01
5.190000000000000000e+02 7.896344780487251080e-01
5.200000000000000000e+02 7.479740896646581705e-01
5.210000000000000000e+02 7.058870467398521420e-01
5.220000000000000000e+02 6.637308577418403743e-01
5.230000000000000000e+02 6.218630311381556641e-01
5.240000000000000000e+02 5.806410753963313631e-01
5.250000000000000000e+02 5.404224989839001569e-01
5.260000000000000000e+02 5.015648103683956194e-01
5.270000000000000000e+02 4.644255180173508246e-01
5.280000000000000000e+02 4.293621303982984028e-01
5.290000000000000000e+02 3.967321559787721497e-01
5.300000000000000000e+02 3.668931032263046399e-01
5.310000000000000000e+02 3.401108482797934318e-01
5.320000000000000000e+02 3.162847379635921330e-01
5.330000000000000000e+02 2.952224867734187241e-01
5.340000000000000000e+02 2.767318092049910749e-01
5.350000000000000000e+02 2.606204197540271106e-01
5.360000000000000000e+02 2.466960329162448118e-01
5.370000000000000000e+02 2.347663631873619372e-01
5.380000000000000000e+02 2.246391250630965508e-01
5.390000000000000000e+02 2.161220330391664668e-01
5.400000000000000000e+02 2.090228016112896381e-01
5.410000000000000000e+02 2.031491452751840177e-01
5.420000000000000000e+02 1.983087785265674474e-01
5.430000000000000000e+02 1.943094158611578803e-01
5.440000000000000000e+02 1.909587717746732416e-01
5.450000000000000000e+02 1.880645607628313176e-01
5.460000000000000000e+02 1.854344973213502001e-01
5.470000000000000000e+02 1.828762959459477588e-01
5.480000000000000000e+02 1.801976711323417524e-01
5.490000000000000000e+02 1.772063373762503002e-01
5.500000000000000000e+02 1.737100091733912166e-01
5.510000000000000000e+02 1.695801624957052889e-01
5.520000000000000000e+02 1.649433192200250586e-01
5.530000000000000000e+02 1.599897626994058464e-01
5.540000000000000000e+02 1.549097762869028894e-01
5.550000000000000000e+02 1.498936433355717024e-01
5.560000000000000000e+02 1.451316471984676060e-01
5.570000000000000000e+02 1.408140712286458929e-01
5.580000000000000000e+02 1.371311987791619391e-01
5.590000000000000000e+02 1.342733132030711485e-01
5.600000000000000000e+02 1.324306978534288137e-01
5.610000000000000000e+02 1.317936360832903386e-01
5.620000000000000000e+02 1.325524112457110992e-01
5.630000000000000000e+02 1.348973066937463328e-01
5.640000000000000000e+02 1.390186057804515540e-01
5.650000000000000000e+02 1.451065918588819448e-01
5.660000000000000000e+02 1.533515482820930198e-01
5.670000000000000000e+02 1.639437584031400719e-01
5.680000000000000000e+02 1.770735055750783937e-01
5.690000000000000000e+02 1.929310731509634169e-01
5.700000000000000000e+02 2.117067444838504897e-01
5.710000000000000000e+02 2.335708281615536674e-01
5.720000000000000000e+02 2.586137337109219447e-01
5.730000000000000000e+02 2.869058958935630232e-01
5.740000000000000000e+02 3.185177494710843549e-01
5.750000000000000000e+02 3.535197292050938911e-01
5.760000000000000000e+02 3.919822698571993613e-01
5.770000000000000000e+02 4.339758061890080509e-01
5.780000000000000000e+02 4.795707729621280224e-01
5.790000000000000000e+02 5.288376049381666721e-01
5.800000000000000000e+02 5.818467368787318961e-01
5.810000000000000000e+02 6.386686035454314236e-01
5.820000000000000000e+02 6.993736396998728733e-01
5.830000000000000000e+02 7.640322801036635303e-01
5.840000000000000000e+02 8.327149595184117903e-01
5.850000000000000000e+02 9.054921127057244945e-01
5.860000000000000000e+02 9.824341744272100385e-01
5.870000000000000000e+02 1.063611579444476041e+00
5.880000000000000000e+02 1.149094762519129675e+00
5.890000000000000000e+02 1.238954158412779005e+00
5.900000000000000000e+02 1.333260201887031648e+00
5.910000000000000000e+02 1.432047874882145466e+00
5.920000000000000000e+02 1.535210348052979734e+00
5.930000000000000000e+02 1.642605339233044637e+00
5.940000000000000000e+02 1.754090566255847916e+00
5.950000000000000000e+02 1.869523746954900423e+00
5.960000000000000000e+02 1.988762599163712341e+00
5.970000000000000000e+02 2.111664840715790525e+00
5.980000000000000000e+02 2.238088189444647824e+00
5.990000000000000000e+02 2.367890363183790647e+00
6.000000000000000000e+02 2.500929079766730290e+00
6.010000000000000000e+02 2.637062057026975825e+00
6.020000000000000000e+02 2.776147012798037217e+00
6.030000000000000000e+02 2.918041664913423094e+00
6.040000000000000000e+02 3.062603731206642976e+00
6.050000000000000000e+02 3.209690929511206825e+00
6.060000000000000000e+02 3.359160977660623715e+00
6.070000000000000000e+02 3.510871593488404496e+00
6.080000000000000000e+02 3.664680494828056911e+00
6.090000000000000000e+02 3.820445399513091367e+00
6.100000000000000000e+02 3.978024025377016493e+00
6.110000000000000000e+02 4.137235281642707818e+00
6.120000000000000000e+02 4.297742843090499143e+00
6.130000000000000000e+02 4.459171575890088945e+00
6.140000000000000000e+02 4.621146346211174816e+00
6.150000000000000000e+02 4.783292020223457008e+00
6.160000000000000000e+02 4.945233464096634890e+00
6.170000000000000000e+02 5.106595544000405162e+00
6.180000000000000000e+02 5.267003126104468080e+00
6.190000000000000000e+02 5.426081076578523010e+00
6.200000000000000000e+02 5.583454261592266654e+00
6.210000000000000000e+02 5.738747547315399267e+00
6.220000000000000000e+02 5.891585799917621991e+00
6.230000000000000000e+02 6.041593885568627975e+00
6.240000000000000000e+02 6.188396670438121028e+00
6.250000000000000000e+02 6.331619020695796074e+00
6.260000000000000000e+02 6.470885802511355145e+00
6.270000000000000000e+02 6.605821882054497607e+00
6.280000000000000000e+02 6.736052125494918386e+00
6.290000000000000000e+02 6.861201399002318624e+00
6.300000000000000000e+02 6.980894568746396800e+00
6.310000000000000000e+02 7.094861888964200780e+00
6.320000000000000000e+02 7.203255166162173317e+00
6.330000000000000000e+02 7.306331594914104777e+00
6.340000000000000000e+02 7.404348369793785523e+00
6.350000000000000000e+02 7.497562685375007696e+00
6.360000000000000000e+02 7.586231736231566103e+00
6.370000000000000000e+02 7.670612716937243114e+00
6.380000000000000000e+02 7.750962822065837088e+00
6.390000000000000000e+02 7.827539246191135724e+00
6.400000000000000000e+02 7.900599183886932941e+00
6.410000000000000000e+02 7.970399829727017327e+00
6.420000000000000000e+02 8.037198378285182798e+00
6.430000000000000000e+02 8.101252024135215279e+00
6.440000000000000000e+02 8.162817961850912241e+00
6.450000000000000000e+02 8.222153386006059606e+00
6.460000000000000000e+02 8.279515491174452180e+00
6.470000000000000000e+02 8.335161471929881216e+00
6.480000000000000000e+02 8.389348522846132639e+00
6.490000000000000000e+02 8.442333838497004805e+00
6.500000000000000000e+02 8.494374613456283640e+00
6.510000000000000000e+02 8.545718380520979096e+00
6.520000000000000000e+02 8.596574025380967043e+00
6.530000000000000000e+02 8.647140771949347382e+00
6.540000000000000000e+02 8.697617844139204024e+00
6.550000000000000000e+02 8.748204465863635093e+00
6.560000000000000000e+02 8.799099861035740489e+00
6.570000000000000000e+02 8.850503253568604123e+00
6.580000000000000000e+02 8.902613867375327672e+00
6.590000000000000000e+02 8.955630926368998601e+00
6.600000000000000000e+02 9.009753654462716810e+00
6.610000000000000000e+02 9.065181275569575092e+00
6.620000000000000000e+02 9.122113013602668019e+00
6.630000000000000000e+02 9.180748092475081279e+00
6.640000000000000000e+02 9.241285736099918324e+00
6.650000000000000000e+02 9.303925168390270173e+00
6.660000000000000000e+02 9.368865613259229619e+00
6.670000000000000000e+02 9.436306294619894786e+00
6.680000000000000000e+02 9.506446436385351362e+00
6.690000000000000000e+02 9.579485262468699247e+00
6.700000000000000000e+02 9.655621996783033012e+00
6.710000000000000000e+02 9.734970239270936077e+00
6.720000000000000000e+02 9.817301093992968575e+00
6.730000000000000000e+02 9.902300041039175937e+00
6.740000000000000000e+02 9.989652560499605372e+00
6.750000000000000000e+02 1.007904413246430941e+01
6.760000000000000000e+02 1.017016023702333705e+01
6.770000000000000000e+02 1.026268635426673193e+01
6.780000000000000000e+02 1.035630796428455014e+01
6.790000000000000000e+02 1.045071054716683356e+01
6.800000000000000000e+02 1.054557958300363651e+01
6.810000000000000000e+02 1.064060055188500087e+01
6.820000000000000000e+02 1.073545893390098449e+01
6.830000000000000000e+02 1.082984020914162926e+01
6.840000000000000000e+02 1.092342985769698771e+01
6.850000000000000000e+02 1.101591335965710172e+01
6.860000000000000000e+02 1.110697619511202916e+01
6.870000000000000000e+02 1.119630384415181545e+01
6.880000000000000000e+02 1.128358178686650604e+01
6.890000000000000000e+02 1.136849550334615344e+01
6.900000000000000000e+02 1.145073047368080665e+01
6.910000000000000000e+02 1.153003409675841340e+01
6.920000000000000000e+02 1.160640144665853768e+01
6.930000000000000000e+02 1.167988951625863159e+01
6.940000000000000000e+02 1.175055529843615609e+01
6.950000000000000000e+02 1.181845578606857572e+01
6.960000000000000000e+02 1.188364797203335321e+01
6.970000000000000000e+02 1.194618884920793889e+01
6.980000000000000000e+02 1.200613541046979726e+01
6.990000000000000000e+02 1.206354464869638754e+01
7.000000000000000000e+02 1.211847355676517246e+01
7.010000000000000000e+02 1.217097912755360767e+01
7.020000000000000000e+02 1.222111835393915591e+01
7.030000000000000000e+02 1.226894822879927816e+01
7.040000000000000000e+02 1.231452574501143182e+01
7.050000000000000000e+02 1.235790789545307433e+01
7.060000000000000000e+02 1.239915167300167198e+01
7.070000000000000000e+02 1.243831407053468396e+01
