# wavelength mu_a mu_s diffuse-reflectance pathlength meanscat
4.500000000000000000e+02 3.816234785196436974e+01 3.628350788461502674e+01 1.260809516118915723e-03 2.792027205196112929e-02 2.083163457216576919e+00
4.600000000000000000e+02 2.143229571730181249e+01 3.576097558348487127e+01 2.321002085195188105e-03 5.232935949315559859e-02 2.993404530563910537e+00
4.700000000000000000e+02 1.585482443544605324e+01 3.525696632255984753e+01 3.223236711261707500e-03 7.242763113816651221e-02 3.709123165850666037e+00
4.800000000000000000e+02 1.289258506318384789e+01 3.477044992025655290e+01 4.043533672507916739e-03 9.053338454290138504e-02 4.318968427828390411e+00
4.900000000000000000e+02 1.188743988367271953e+01 3.430047341558653073e+01 4.363727955587811541e-03 9.923491845612106288e-02 4.590277814677367729e+00
5.000000000000000000e+02 1.119365092812732954e+01 3.384615384615387512e+01 4.613278891948478788e-03 1.057653724463875761e-01 4.764667183570310272e+00
5.100000000000000000e+02 1.136608657826254998e+01 3.340667183039644783e+01 4.460247783262091120e-03 1.038928519409345191e-01 4.652785213078534099e+00
5.200000000000000000e+02 1.378131310669694543e+01 3.298126585071882033e+01 3.517389570929440983e-03 8.385817283624043272e-02 3.925672661886038028e+00
5.300000000000000000e+02 2.127832618017014710e+01 3.256922714915181416e+01 2.121010563600667434e-03 5.220475443876762545e-02 2.813289649236279111e+00
5.400000000000000000e+02 2.774116392300744494e+01 3.216989515974905345e+01 1.564328528324253299e-03 3.902396988194294786e-02 2.343148050729022547e+00
5.500000000000000000e+02 2.418695261050407197e+01 3.178265341252011922e+01 1.781169302938198163e-03 4.547355268873604778e-02 2.544696505767403139e+00
5.600000000000000000e+02 1.983137271094724596e+01 3.140692585264611481e+01 2.196111847196658470e-03 5.626656168149329895e-02 2.883985232704295854e+00
5.700000000000000000e+02 2.387550145048532713e+01 3.104217352630651661e+01 1.761124073007520581e-03 4.584401499885006059e-02 2.523123170802382909e+00
5.800000000000000000e+02 2.534154754144582000e+01 3.068789159089368468e+01 1.634750147235749336e-03 4.295916994824407892e-02 2.407568983276600516e+00
5.900000000000000000e+02 9.270787951910262947e+00 3.034360661288937422e+01 5.079303978895950700e-03 1.286267411324537591e-01 5.097079065102496642e+00
6.000000000000000000e+02 3.002162267868201617e+00 3.000887412137990040e+01 2.012062133923951668e-02 4.121320998165141081e-01 1.360928754607870061e+01
6.100000000000000000e+02 1.697959520457892779e+00 2.968327638921970291e+01 3.939974442891343992e-02 6.794118696435406113e-01 2.132525688240968265e+01
6.200000000000000000e+02 1.129849386497509212e+00 2.936642041732060449e+01 6.106857594348787110e-02 9.373332783446138849e-01 2.858967288427883702e+01
6.300000000000000000e+02 8.365958262631790765e-01 2.905793610053414611e+01 8.210755838703301390e-02 1.169520410960250834e+00 3.496634317135394099e+01
6.400000000000000000e+02 6.752864094071715506e-01 2.875747455617861448e+01 9.959399290696979712e-02 1.363405882657013235e+00 4.013115010229616786e+01
