# wavelength pathlength
4.500000000000000000e+02 8.224141320790444298e-02
4.510000000000000000e+02 8.224141320790444298e-02
4.520000000000000000e+02 8.224141320790444298e-02
4.530000000000000000e+02 8.224141320790444298e-02
4.540000000000000000e+02 8.224141320790444298e-02
4.550000000000000000e+02 8.224141320790444298e-02
4.560000000000000000e+02 8.224141320790444298e-02
4.570000000000000000e+02 8.224141320790444298e-02
4.580000000000000000e+02 8.224141320790444298e-02
4.590000000000000000e+02 8.224141320790444298e-02
4.600000000000000000e+02 8.224141320790444298e-02
4.610000000000000000e+02 8.224141320790444298e-02
4.620000000000000000e+02 8.224141320790444298e-02
4.630000000000000000e+02 8.224141320790444298e-02
4.640000000000000000e+02 8.224141320790444298e-02
4.650000000000000000e+02 8.224141320790444298e-02
4.660000000000000000e+02 8.224141320790444298e-02
4.670000000000000000e+02 8.224141320790444298e-02
4.680000000000000000e+02 8.224141320790444298e-02
4.690000000000000000e+02 8.224141320790444298e-02
4.700000000000000000e+02 8.224141320790444298e-02
4.710000000000000000e+02 8.224141320790444298e-02
4.720000000000000000e+02 8.224141320790444298e-02
4.730000000000000000e+02 8.224141320790444298e-02
4.740000000000000000e+02 8.224141320790444298e-02
4.750000000000000000e+02 8.224141320790444298e-02
4.760000000000000000e+02 8.340019371889356714e-02
4.770000000000000000e+02 8.455897422988267742e-02
4.780000000000000000e+02 8.571775474087180158e-02
4.790000000000000000e+02 8.687653525186091186e-02
4.800000000000000000e+02 8.803531576285003601e-02
4.810000000000000000e+02 8.919409627383914629e-02
4.820000000000000000e+02 9.035287678482827045e-02
4.830000000000000000e+02 9.151165729581739461e-02
4.840000000000000000e+02 9.267043780680650489e-02
4.850000000000000000e+02 9.382921831779562905e-02
4.860000000000000000e+02 9.498799882878473932e-02
4.870000000000000000e+02 9.614677933977386348e-02
4.880000000000000000e+02 9.730555985076297376e-02
4.890000000000000000e+02 9.846434036175209792e-02
4.900000000000000000e+02 9.962312087274122208e-02
4.910000000000000000e+02 1.007819013837303324e-01
4.920000000000000000e+02 1.019406818947194426e-01
4.930000000000000000e+02 1.030994624057085668e-01
4.940000000000000000e+02 1.042582429166976909e-01
4.950000000000000000e+02 1.054170234276868012e-01
4.960000000000000000e+02 1.065758039386759254e-01
4.970000000000000000e+02 1.077345844496650495e-01
4.980000000000000000e+02 1.088933649606541598e-01
4.990000000000000000e+02 1.100521454716432701e-01
5.000000000000000000e+02 1.112109259826323943e-01
5.010000000000000000e+02 1.095383724077983317e-01
5.020000000000000000e+02 1.078658188329642692e-01
5.030000000000000000e+02 1.061932652581302067e-01
5.040000000000000000e+02 1.045207116832961303e-01
5.050000000000000000e+02 1.028481581084620677e-01
5.060000000000000000e+02 1.011756045336280052e-01
5.070000000000000000e+02 9.950305095879394268e-02
5.080000000000000000e+02 9.783049738395988015e-02
5.090000000000000000e+02 9.615794380912581762e-02
5.100000000000000000e+02 9.448539023429175510e-02
5.110000000000000000e+02 9.281283665945769257e-02
5.120000000000000000e+02 9.114028308462363004e-02
5.130000000000000000e+02 8.946772950978956751e-02
5.140000000000000000e+02 8.779517593495549110e-02
5.150000000000000000e+02 8.612262236012142858e-02
5.160000000000000000e+02 8.445006878528736605e-02
5.170000000000000000e+02 8.277751521045330352e-02
5.180000000000000000e+02 8.110496163561924099e-02
5.190000000000000000e+02 7.943240806078516458e-02
5.200000000000000000e+02 7.775985448595110205e-02
5.210000000000000000e+02 7.608730091111703953e-02
5.220000000000000000e+02 7.441474733628297700e-02
5.230000000000000000e+02 7.274219376144891447e-02
5.240000000000000000e+02 7.106964018661485194e-02
5.250000000000000000e+02 6.939708661178078941e-02
5.260000000000000000e+02 6.829172559247806418e-02
5.270000000000000000e+02 6.718636457317533894e-02
5.280000000000000000e+02 6.608100355387261371e-02
5.290000000000000000e+02 6.497564253456988848e-02
5.300000000000000000e+02 6.387028151526717712e-02
5.310000000000000000e+02 6.276492049596445189e-02
5.320000000000000000e+02 6.165955947666172665e-02
5.330000000000000000e+02 6.055419845735900142e-02
5.340000000000000000e+02 5.944883743805627618e-02
5.350000000000000000e+02 5.834347641875355095e-02
5.360000000000000000e+02 5.723811539945083265e-02
5.370000000000000000e+02 5.613275438014810742e-02
5.380000000000000000e+02 5.502739336084538219e-02
5.390000000000000000e+02 5.392203234154266389e-02
5.400000000000000000e+02 5.281667132223993866e-02
5.410000000000000000e+02 5.171131030293721342e-02
5.420000000000000000e+02 5.060594928363448819e-02
5.430000000000000000e+02 4.950058826433176296e-02
5.440000000000000000e+02 4.839522724502904466e-02
5.450000000000000000e+02 4.728986622572631943e-02
5.460000000000000000e+02 4.618450520642359419e-02
5.470000000000000000e+02 4.507914418712087590e-02
5.480000000000000000e+02 4.397378316781815066e-02
5.490000000000000000e+02 4.286842214851542543e-02
5.500000000000000000e+02 4.176306112921270020e-02
5.510000000000000000e+02 4.155404876260467700e-02
5.520000000000000000e+02 4.134503639599665381e-02
5.530000000000000000e+02 4.113602402938863062e-02
5.540000000000000000e+02 4.092701166278060743e-02
5.550000000000000000e+02 4.071799929617257729e-02
5.560000000000000000e+02 4.050898692956455410e-02
5.570000000000000000e+02 4.029997456295653091e-02
5.580000000000000000e+02 4.009096219634850772e-02
5.590000000000000000e+02 3.988194982974048453e-02
5.600000000000000000e+02 3.967293746313246133e-02
5.610000000000000000e+02 3.946392509652443814e-02
5.620000000000000000e+02 3.925491272991641495e-02
5.630000000000000000e+02 3.904590036330838482e-02
5.640000000000000000e+02 3.883688799670036162e-02
5.650000000000000000e+02 3.862787563009233843e-02
5.660000000000000000e+02 3.841886326348431524e-02
5.670000000000000000e+02 3.820985089687629205e-02
5.680000000000000000e+02 3.800083853026826886e-02
5.690000000000000000e+02 3.779182616366024566e-02
5.700000000000000000e+02 3.758281379705222247e-02
5.710000000000000000e+02 3.737380143044419234e-02
5.720000000000000000e+02 3.716478906383616915e-02
5.730000000000000000e+02 3.695577669722814595e-02
5.740000000000000000e+02 3.674676433062012276e-02
5.750000000000000000e+02 3.653775196401209957e-02
5.760000000000000000e+02 5.008490098655517947e-02
5.770000000000000000e+02 6.363205000909825937e-02
5.780000000000000000e+02 7.717919903164133233e-02
5.790000000000000000e+02 9.072634805418441917e-02
5.800000000000000000e+02 1.042734970767275060e-01
5.810000000000000000e+02 1.178206460992705790e-01
5.820000000000000000e+02 1.313677951218136519e-01
5.830000000000000000e+02 1.449149441443567388e-01
5.840000000000000000e+02 1.584620931668998256e-01
5.850000000000000000e+02 1.720092421894429124e-01
5.860000000000000000e+02 1.855563912119859715e-01
5.870000000000000000e+02 1.991035402345290584e-01
5.880000000000000000e+02 2.126506892570721452e-01
5.890000000000000000e+02 2.261978382796152043e-01
5.900000000000000000e+02 2.397449873021582911e-01
5.910000000000000000e+02 2.532921363247013780e-01
5.920000000000000000e+02 2.668392853472444370e-01
5.930000000000000000e+02 2.803864343697875516e-01
5.940000000000000000e+02 2.939335833923306107e-01
5.950000000000000000e+02 3.074807324148737253e-01
5.960000000000000000e+02 3.210278814374167844e-01
5.970000000000000000e+02 3.345750304599598435e-01
5.980000000000000000e+02 3.481221794825029581e-01
5.990000000000000000e+02 3.616693285050460172e-01
6.000000000000000000e+02 3.752164775275890762e-01
6.010000000000000000e+02 4.077820745309831407e-01
6.020000000000000000e+02 4.403476715343771497e-01
6.030000000000000000e+02 4.729132685377712142e-01
6.040000000000000000e+02 5.054788655411652787e-01
6.050000000000000000e+02 5.380444625445592877e-01
6.060000000000000000e+02 5.706100595479534077e-01
6.070000000000000000e+02 6.031756565513474166e-01
6.080000000000000000e+02 6.357412535547415366e-01
6.090000000000000000e+02 6.683068505581355456e-01
6.100000000000000000e+02 7.008724475615295546e-01
6.110000000000000000e+02 7.334380445649235636e-01
6.120000000000000000e+02 7.660036415683176836e-01
6.130000000000000000e+02 7.985692385717118036e-01
6.140000000000000000e+02 8.311348355751058126e-01
6.150000000000000000e+02 8.637004325784998215e-01
6.160000000000000000e+02 8.962660295818938305e-01
6.170000000000000000e+02 9.288316265852878395e-01
6.180000000000000000e+02 9.613972235886820705e-01
6.190000000000000000e+02 9.939628205920760795e-01
6.200000000000000000e+02 1.026528417595470088e+00
6.210000000000000000e+02 1.059094014598864097e+00
6.220000000000000000e+02 1.091659611602258106e+00
6.230000000000000000e+02 1.124225208605652337e+00
6.240000000000000000e+02 1.156790805609046346e+00
6.250000000000000000e+02 1.189356402612440355e+00
6.260000000000000000e+02 1.203985046485807064e+00
6.270000000000000000e+02 1.218613690359173773e+00
6.280000000000000000e+02 1.233242334232540482e+00
6.290000000000000000e+02 1.247870978105907191e+00
6.300000000000000000e+02 1.262499621979273901e+00
6.310000000000000000e+02 1.277128265852640610e+00
6.320000000000000000e+02 1.291756909726007096e+00
6.330000000000000000e+02 1.306385553599373806e+00
