# wavelength pathlength
4.500000000000000000e+02 -1.421364865162493551e-01
4.510000000000000000e+02 -1.278462330612746278e-01
4.520000000000000000e+02 -1.140600570788778273e-01
4.530000000000000000e+02 -1.007699825668314508e-01
4.540000000000000000e+02 -8.796803352290798184e-02
4.550000000000000000e+02 -7.564623394487990371e-02
4.560000000000000000e+02 -6.379660783051971373e-02
4.570000000000000000e+02 -5.241117917760027695e-02
4.580000000000000000e+02 -4.148197198389384083e-02
4.590000000000000000e+02 -3.100101024717309001e-02
4.600000000000000000e+02 -2.096031796521052176e-02
4.610000000000000000e+02 -1.135191913577880164e-02
4.620000000000000000e+02 -2.167837756650328046e-03
4.630000000000000000e+02 6.599902174402204856e-03
4.640000000000000000e+02 1.495927665960632147e-02
4.650000000000000000e+02 2.291826170118943864e-02
4.660000000000000000e+02 3.048483330137902181e-02
4.670000000000000000e+02 3.766696746240249388e-02
4.680000000000000000e+02 4.447264018648731942e-02
4.690000000000000000e+02 5.090982747586098034e-02
4.700000000000000000e+02 5.698650533275085445e-02
4.710000000000000000e+02 6.271064975938440977e-02
4.720000000000000000e+02 6.809023675798910047e-02
4.730000000000000000e+02 7.313324233079238068e-02
4.740000000000000000e+02 7.784764248002169762e-02
4.750000000000000000e+02 8.224141320790445686e-02
4.760000000000000000e+02 8.632253051666813337e-02
4.770000000000000000e+02 9.009897040854020211e-02
4.780000000000000000e+02 9.357870888574808255e-02
4.790000000000000000e+02 9.676972195051920800e-02
4.800000000000000000e+02 9.967998560508105343e-02
4.810000000000000000e+02 1.023174758516610244e-01
4.820000000000000000e+02 1.046901686924865960e-01
4.830000000000000000e+02 1.068060401297852152e-01
4.840000000000000000e+02 1.086730661657843294e-01
4.850000000000000000e+02 1.102992228027113719e-01
4.860000000000000000e+02 1.116924860427937899e-01
4.870000000000000000e+02 1.128608318882590306e-01
4.880000000000000000e+02 1.138122363413345411e-01
4.890000000000000000e+02 1.145546754042477688e-01
4.900000000000000000e+02 1.150961250792261747e-01
4.910000000000000000e+02 1.154445613684971922e-01
4.920000000000000000e+02 1.156079602742882406e-01
4.930000000000000000e+02 1.155942977988268228e-01
4.940000000000000000e+02 1.154115499443403442e-01
4.950000000000000000e+02 1.150676927130562938e-01
4.960000000000000000e+02 1.145707021072020215e-01
4.970000000000000000e+02 1.139285541290050718e-01
4.980000000000000000e+02 1.131492247806928780e-01
4.990000000000000000e+02 1.122406900644928179e-01
5.000000000000000000e+02 1.112109259826324081e-01
5.010000000000000000e+02 1.100679085373390820e-01
5.020000000000000000e+02 1.088196137308402728e-01
5.030000000000000000e+02 1.074740175653634278e-01
5.040000000000000000e+02 1.060390960431359525e-01
5.050000000000000000e+02 1.045228251663853775e-01
5.060000000000000000e+02 1.029331809373391082e-01
5.070000000000000000e+02 1.012781393582245643e-01
5.080000000000000000e+02 9.956567643126923439e-02
5.090000000000000000e+02 9.780376815870053808e-02
5.100000000000000000e+02 9.600039054274595030e-02
5.110000000000000000e+02 9.416351958563284885e-02
5.120000000000000000e+02 9.230113128958876423e-02
5.130000000000000000e+02 9.042120165684108812e-02
5.140000000000000000e+02 8.853170668961730938e-02
5.150000000000000000e+02 8.664062239014486133e-02
5.160000000000000000e+02 8.475592476065112180e-02
5.170000000000000000e+02 8.288558980336363513e-02
5.180000000000000000e+02 8.103759352050977915e-02
5.190000000000000000e+02 7.921991191431704271e-02
5.200000000000000000e+02 7.744052098701284526e-02
5.210000000000000000e+02 7.570739674082467563e-02
5.220000000000000000e+02 7.402851517797992553e-02
5.230000000000000000e+02 7.241185230070605605e-02
5.240000000000000000e+02 7.086538411123052827e-02
5.250000000000000000e+02 6.939708661178080329e-02
5.260000000000000000e+02 6.801239744498296935e-02
5.270000000000000000e+02 6.670660081505819239e-02
5.280000000000000000e+02 6.547244256662615447e-02
5.290000000000000000e+02 6.430266854430666257e-02
5.300000000000000000e+02 6.319002459271952366e-02
5.310000000000000000e+02 6.212725655648443368e-02
5.320000000000000000e+02 6.110711028022120656e-02
5.330000000000000000e+02 6.012233160854964925e-02
5.340000000000000000e+02 5.916566638608947160e-02
5.350000000000000000e+02 5.822986045746047362e-02
5.360000000000000000e+02 5.730765966728244148e-02
5.370000000000000000e+02 5.639180986017512665e-02
5.380000000000000000e+02 5.547505688075830832e-02
5.390000000000000000e+02 5.455014657365177266e-02
5.400000000000000000e+02 5.360982478347527114e-02
5.410000000000000000e+02 5.264683735484858990e-02
5.420000000000000000e+02 5.165393013239150122e-02
5.430000000000000000e+02 5.062384896072376350e-02
5.440000000000000000e+02 4.954933968446516290e-02
5.450000000000000000e+02 4.842314814823547864e-02
5.460000000000000000e+02 4.723802019665446911e-02
5.470000000000000000e+02 4.598670167434190659e-02
5.480000000000000000e+02 4.466193842591757723e-02
5.490000000000000000e+02 4.325647629600123945e-02
5.500000000000000000e+02 4.176306112921267938e-02
5.510000000000000000e+02 4.017968121570607287e-02
5.520000000000000000e+02 3.852529462777322389e-02
5.530000000000000000e+02 3.682410188324040934e-02
5.540000000000000000e+02 3.510030349993380899e-02
5.550000000000000000e+02 3.337809999567967895e-02
5.560000000000000000e+02 3.168169188830425448e-02
5.570000000000000000e+02 3.003527969563376740e-02
5.580000000000000000e+02 2.846306393549444258e-02
5.590000000000000000e+02 2.698924512571249448e-02
5.600000000000000000e+02 2.563802378411418961e-02
5.610000000000000000e+02 2.443360042852574590e-02
5.620000000000000000e+02 2.340017557677338128e-02
5.630000000000000000e+02 2.256194974668334144e-02
5.640000000000000000e+02 2.194312345608185819e-02
5.650000000000000000e+02 2.156789722279515292e-02
5.660000000000000000e+02 2.146047156464946440e-02
5.670000000000000000e+02 2.164504699947102095e-02
5.680000000000000000e+02 2.214582404508606134e-02
5.690000000000000000e+02 2.298700321932081042e-02
5.700000000000000000e+02 2.419278504000150001e-02
5.710000000000000000e+02 2.578737002495436192e-02
5.720000000000000000e+02 2.779495869200562796e-02
5.730000000000000000e+02 3.023975155898153341e-02
5.740000000000000000e+02 3.314594914370829620e-02
5.750000000000000000e+02 3.653775196401216896e-02
5.760000000000000000e+02 4.044097816580587146e-02
5.770000000000000000e+02 4.488791640734819677e-02
5.780000000000000000e+02 4.991247297498441204e-02
5.790000000000000000e+02 5.554855415505979832e-02
5.800000000000000000e+02 6.183006623391965051e-02
5.810000000000000000e+02 6.879091549790926352e-02
5.820000000000000000e+02 7.646500823337387676e-02
5.830000000000000000e+02 8.488625072665882676e-02
5.840000000000000000e+02 9.408854926410936681e-02
5.850000000000000000e+02 1.041058101320707363e-01
5.860000000000000000e+02 1.149719396168883134e-01
5.870000000000000000e+02 1.267208440049072959e-01
5.880000000000000000e+02 1.393864295824730204e-01
5.890000000000000000e+02 1.530026026359307678e-01
5.900000000000000000e+02 1.676032694516257360e-01
5.910000000000000000e+02 1.832223363159033447e-01
5.920000000000000000e+02 1.998937095151087640e-01
5.930000000000000000e+02 2.176512953355873581e-01
5.940000000000000000e+02 2.365290000636843248e-01
5.950000000000000000e+02 2.565607299857450285e-01
5.960000000000000000e+02 2.777803913881146669e-01
5.970000000000000000e+02 3.002218905571386598e-01
5.980000000000000000e+02 3.239191337791621494e-01
5.990000000000000000e+02 3.489060273405304446e-01
6.000000000000000000e+02 3.752164775275888542e-01
6.010000000000000000e+02 4.028605216269706135e-01
6.020000000000000000e+02 4.317527209264607757e-01
6.030000000000000000e+02 4.617837677141322650e-01
6.040000000000000000e+02 4.928443542780578390e-01
6.050000000000000000e+02 5.248251729063108106e-01
6.060000000000000000e+02 5.576169158869640485e-01
6.070000000000000000e+02 5.911102755080901439e-01
6.080000000000000000e+02 6.251959440577624649e-01
6.090000000000000000e+02 6.597646138240540470e-01
6.100000000000000000e+02 6.947069770950372591e-01
6.110000000000000000e+02 7.299137261587858028e-01
6.120000000000000000e+02 7.652755533033720470e-01
6.130000000000000000e+02 8.006831508168691380e-01
6.140000000000000000e+02 8.360272109873502222e-01
6.150000000000000000e+02 8.711984261028878906e-01
6.160000000000000000e+02 9.060874884515556227e-01
6.170000000000000000e+02 9.405850903214257874e-01
6.180000000000000000e+02 9.745819240005718642e-01
6.190000000000000000e+02 1.007968681777066333e+00
6.200000000000000000e+02 1.040636055938982452e+00
6.210000000000000000e+02 1.072474738774393144e+00
6.220000000000000000e+02 1.103375422571371445e+00
