# wavelength mu_a mu_s diffuse-reflectance pathlength meanscat
4.500000000000000000e+02 1.206149393146897175e+00 3.766290305540587013e+01 1.653431232466547329e-01 6.251601127134287506e-01 2.430425495753351584e+01
4.600000000000000000e+02 7.235804499232252329e-01 3.519073238123907288e+01 2.251012661902569156e-01 8.869971756014557451e-01 3.185868517135425648e+01
4.700000000000000000e+02 5.368270091098177321e-01 3.292888036606660762e+01 2.595835575240130755e-01 1.094524085558427062e+00 3.663011994240349622e+01
4.800000000000000000e+02 4.346351032084788679e-01 3.085553387640309708e+01 2.822010569185924300e-01 1.277224297239733408e+00 3.996585044129501796e+01
4.900000000000000000e+02 3.963554034405672999e-01 2.895153242736385124e+01 2.866884173800182678e-01 1.384941005046681495e+00 4.064806321736747208e+01
5.000000000000000000e+02 3.663362503351301203e-01 2.719999999999999574e+01 2.893632110184549133e-01 1.488376888482175975e+00 4.103184609085775492e+01
5.100000000000000000e+02 3.658457425984789624e-01 2.558603404703675110e+01 2.798785259133664827e-01 1.525813281847997915e+00 3.959942921771893509e+01
5.200000000000000000e+02 4.848825519914848892e-01 2.409644189466784425e+01 2.282042014394315421e-01 1.313276280269001228e+00 3.228548177446585754e+01
5.300000000000000000e+02 7.346482084705276971e-01 2.271951657475489483e+01 1.641454558401082009e-01 1.029628785034638838e+00 2.415213259503201471e+01
5.400000000000000000e+02 9.509863549572973307e-01 2.144484558076402081e+01 1.274985116193182999e-01 8.856618328379062266e-01 1.983709035599330406e+01
5.500000000000000000e+02 8.163489716140061025e-01 2.026314721129457297e+01 1.380157107815381257e-01 9.994406479846319469e-01 2.107177208095269805e+01
5.600000000000000000e+02 6.604358344195737640e-01 1.916613010820105600e+01 1.563203028002505546e-01 1.171349062707169209e+00 2.322674746726316286e+01
5.700000000000000000e+02 8.118446622400226076e-01 1.814637235939801485e+01 1.265410935131337788e-01 1.040291913404465696e+00 1.972308280255379742e+01
5.800000000000000000e+02 8.747917443855126596e-01 1.719721715630873859e+01 1.133046299131618556e-01 1.006058084212299031e+00 1.818183848865674790e+01
5.900000000000000000e+02 3.264270932165828087e-01 1.631268250138549902e+01 2.290405410249502782e-01 1.946630310188438795e+00 3.239094613451884896e+01
6.000000000000000000e+02 1.316563693142207003e-01 1.548738287483281262e+01 3.638486852783544001e-01 3.444074317182947542e+00 5.379104979959321042e+01
6.100000000000000000e+02 8.388665412197730820e-02 1.471646110947379782e+01 4.300841319515052441e-01 4.581384594736092275e+00 6.780709856182251372e+01
6.200000000000000000e+02 5.178565865927806794e-02 1.399552900277331879e+01 5.005227408025996194e-01 6.174679543004307547e+00 8.673777909241438522e+01
6.300000000000000000e+02 3.746587598878126091e-02 1.332061542663921294e+01 5.435358951181550324e-01 7.580982232563581391e+00 1.012665467958597247e+02
6.400000000000000000e+02 3.067783988741121237e-02 1.268812088776673797e+01 5.666004476568232695e-01 8.661971307564867217e+00 1.101688348893467690e+02
6.500000000000000000e+02 2.702501794881347758e-02 1.209477765119086179e+01 5.784469666960735390e-01 9.494301879974189617e+00 1.150876003633381686e+02
6.600000000000000000e+02 2.404099451142260174e-02 1.153761467317720601e+01 5.887464157622920302e-01 1.034918903372652821e+01 1.196563468308378475e+02
6.700000000000000000e+02 2.100852158267513953e-02 1.101392670130854690e+01 6.016092885195465367e-01 1.138818585033245334e+01 1.256708122735892772e+02
6.800000000000000000e+02 1.823452506958513422e-02 1.052124699341490732e+01 6.152912836886621495e-01 1.256823170569893655e+01 1.324611570058217751e+02
6.900000000000000000e+02 1.630225619652616795e-02 1.005732318594457375e+01 6.245880813837833001e-01 1.364620881730373370e+01 1.374650148160119159e+02
7.000000000000000000e+02 1.532747258724081497e-02 9.620095909005653922e+00 6.270300629522175262e-01 1.439877574118179915e+01 1.387377258117103054e+02
7.100000000000000000e+02 1.494374841637000940e-02 9.207679801688627208e+00 6.244753539637784012e-01 1.489579878855847106e+01 1.373738450970689371e+02
7.200000000000000000e+02 1.513969681279668869e-02 8.818346629105320744e+00 6.165913584827432681e-01 1.507477301534632197e+01 1.331618176808648570e+02
7.300000000000000000e+02 1.581896843943191369e-02 8.450510243245716424e+00 6.042548474292065430e-01 1.499528746688393888e+01 1.269504060567457913e+02
7.400000000000000000e+02 1.746071466044039552e-02 8.102713164413103186e+00 5.836199386965071900e-01 1.446583250386967023e+01 1.174610899158121811e+02
7.500000000000000000e+02 1.942057231461647229e-02 7.773614589605202241e+00 5.617467886814910827e-01 1.387739292675896152e+01 1.081455260763472381e+02
7.600000000000000000e+02 2.095264439674452556e-02 7.461979659556321032e+00 5.437084813368114888e-01 1.354492209638368294e+01 1.013562254662102333e+02
7.700000000000000000e+02 2.130665950168613224e-02 7.166669837902731821e+00 5.350318941940223061e-01 1.365093020390550826e+01 9.812583914794198847e+01
7.800000000000000000e+02 2.153990443377033423e-02 6.886634274631030728e+00 5.270888499674043493e-01 1.380576725263682825e+01 9.537136534980763258e+01
7.900000000000000000e+02 2.165350280266464117e-02 6.620902042077261740e+00 5.201948493064466605e-01 1.399861207405827379e+01 9.298594541801787727e+01
8.000000000000000000e+02 2.213964502952785532e-02 6.368575145649503888e+00 5.104389680816846520e-01 1.405821415632539839e+01 8.983919454410715844e+01
8.100000000000000000e+02 2.276756238730894694e-02 6.128822223472716324e+00 4.997250956226207408e-01 1.407290394241172038e+01 8.656962053391168865e+01
8.200000000000000000e+02 2.368128672422469341e-02 5.900872859575464702e+00 4.874823321426560163e-01 1.398290974532379849e+01 8.284028800871820408e+01
8.300000000000000000e+02 2.521847710083655048e-02 5.684012444284419097e+00 4.711252787542285492e-01 1.370846242234424039e+01 7.826511504997002078e+01
8.400000000000000000e+02 2.644019864370327280e-02 5.477577523359681955e+00 4.573331157093546429e-01 1.355299987005998652e+01 7.459550024873632879e+01
8.500000000000000000e+02 2.709188820206637899e-02 5.280951584257449483e+00 4.472826468520313403e-01 1.357532003332995707e+01 7.205556586174053280e+01
8.600000000000000000e+02 2.760571215075001764e-02 5.093561233887328399e+00 4.383751113496773821e-01 1.362961068493227401e+01 6.979987372789209132e+01
8.700000000000000000e+02 2.827861817765031649e-02 4.914872727459210111e+00 4.284453172405212062e-01 1.364750035896352642e+01 6.746022783912212617e+01
