# wavelength pathlength
4.500000000000000000e+02 2.171485251191311860e-01
4.510000000000000000e+02 2.575511139445700315e-01
4.520000000000000000e+02 2.979537027700088769e-01
4.530000000000000000e+02 3.383562915954476669e-01
4.540000000000000000e+02 3.787588804208865123e-01
4.550000000000000000e+02 4.191614692463253578e-01
4.560000000000000000e+02 4.595640580717641477e-01
4.570000000000000000e+02 4.999666468972029931e-01
4.580000000000000000e+02 5.403692357226418386e-01
4.590000000000000000e+02 5.807718245480806285e-01
4.600000000000000000e+02 6.211744133735195295e-01
4.610000000000000000e+02 6.615770021989583194e-01
4.620000000000000000e+02 7.019795910243971093e-01
4.630000000000000000e+02 7.423821798498360103e-01
4.640000000000000000e+02 7.827847686752748002e-01
4.650000000000000000e+02 8.231873575007137012e-01
4.660000000000000000e+02 8.635899463261524911e-01
4.670000000000000000e+02 9.039925351515912810e-01
4.680000000000000000e+02 9.443951239770301820e-01
4.690000000000000000e+02 9.847977128024689719e-01
4.700000000000000000e+02 1.025200301627907873e+00
4.710000000000000000e+02 1.040088533377031332e+00
4.720000000000000000e+02 1.054976765126155014e+00
4.730000000000000000e+02 1.069864996875278695e+00
4.740000000000000000e+02 1.084753228624402155e+00
4.750000000000000000e+02 1.099641460373525614e+00
4.760000000000000000e+02 1.114529692122649296e+00
4.770000000000000000e+02 1.129417923871772977e+00
4.780000000000000000e+02 1.144306155620896437e+00
4.790000000000000000e+02 1.159194387370019896e+00
4.800000000000000000e+02 1.174082619119143578e+00
4.810000000000000000e+02 1.188970850868267259e+00
4.820000000000000000e+02 1.203859082617390719e+00
4.830000000000000000e+02 1.218747314366514178e+00
4.840000000000000000e+02 1.233635546115637860e+00
4.850000000000000000e+02 1.248523777864761541e+00
4.860000000000000000e+02 1.263412009613885001e+00
4.870000000000000000e+02 1.278300241363008460e+00
4.880000000000000000e+02 1.293188473112132142e+00
4.890000000000000000e+02 1.308076704861255823e+00
4.900000000000000000e+02 1.322964936610379283e+00
4.910000000000000000e+02 1.330221573764509113e+00
4.920000000000000000e+02 1.337478210918638943e+00
4.930000000000000000e+02 1.344734848072768774e+00
4.940000000000000000e+02 1.351991485226898604e+00
4.950000000000000000e+02 1.359248122381028434e+00
4.960000000000000000e+02 1.366504759535158264e+00
4.970000000000000000e+02 1.373761396689288095e+00
4.980000000000000000e+02 1.381018033843417925e+00
4.990000000000000000e+02 1.388274670997547755e+00
5.000000000000000000e+02 1.395531308151677585e+00
5.010000000000000000e+02 1.402787945305807193e+00
5.020000000000000000e+02 1.410044582459937024e+00
5.030000000000000000e+02 1.417301219614066854e+00
5.040000000000000000e+02 1.424557856768196684e+00
5.050000000000000000e+02 1.431814493922326514e+00
5.060000000000000000e+02 1.439071131076456345e+00
5.070000000000000000e+02 1.446327768230586175e+00
5.080000000000000000e+02 1.453584405384716005e+00
5.090000000000000000e+02 1.460841042538845835e+00
5.100000000000000000e+02 1.468097679692975666e+00
5.110000000000000000e+02 1.446069207767623155e+00
5.120000000000000000e+02 1.424040735842270422e+00
5.130000000000000000e+02 1.402012263916917689e+00
5.140000000000000000e+02 1.379983791991565178e+00
5.150000000000000000e+02 1.357955320066212668e+00
5.160000000000000000e+02 1.335926848140859935e+00
5.170000000000000000e+02 1.313898376215507202e+00
5.180000000000000000e+02 1.291869904290154691e+00
5.190000000000000000e+02 1.269841432364802181e+00
5.200000000000000000e+02 1.247812960439449448e+00
5.210000000000000000e+02 1.225784488514096715e+00
5.220000000000000000e+02 1.203756016588744204e+00
5.230000000000000000e+02 1.181727544663391694e+00
5.240000000000000000e+02 1.159699072738038961e+00
5.250000000000000000e+02 1.137670600812686228e+00
5.260000000000000000e+02 1.115642128887333717e+00
5.270000000000000000e+02 1.093613656961981206e+00
5.280000000000000000e+02 1.071585185036628474e+00
5.290000000000000000e+02 1.049556713111275741e+00
5.300000000000000000e+02 1.027528241185923230e+00
5.310000000000000000e+02 1.023431810081568694e+00
5.320000000000000000e+02 1.019335378977214379e+00
5.330000000000000000e+02 1.015238947872859843e+00
5.340000000000000000e+02 1.011142516768505306e+00
5.350000000000000000e+02 1.007046085664150770e+00
5.360000000000000000e+02 1.002949654559796455e+00
5.370000000000000000e+02 9.988532234554419187e-01
5.380000000000000000e+02 9.947567923510873822e-01
5.390000000000000000e+02 9.906603612467329567e-01
5.400000000000000000e+02 9.865639301423785312e-01
5.410000000000000000e+02 9.824674990380239947e-01
5.420000000000000000e+02 9.783710679336695692e-01
5.430000000000000000e+02 9.742746368293150327e-01
5.440000000000000000e+02 9.701782057249606073e-01
5.450000000000000000e+02 9.660817746206060708e-01
5.460000000000000000e+02 9.619853435162516453e-01
