# wavelength pathlength
4.500000000000000000e+02 -5.173774746813911696e-01
4.510000000000000000e+02 -4.170352879458464890e-01
4.520000000000000000e+02 -3.200135969151466364e-01
4.530000000000000000e+02 -2.262620960348424304e-01
4.540000000000000000e+02 -1.357304797504844396e-01
4.550000000000000000e+02 -4.836844250762422498e-02
4.560000000000000000e+02 3.587432124819034396e-02
4.570000000000000000e+02 1.170481170714041119e-01
4.580000000000000000e+02 1.952032505164693343e-01
4.590000000000000000e+02 2.703900271378340547e-01
4.600000000000000000e+02 3.426587524899482595e-01
4.610000000000000000e+02 4.120597321272596592e-01
4.620000000000000000e+02 4.786432716042196001e-01
4.630000000000000000e+02 5.424596764752755984e-01
4.640000000000000000e+02 6.035592522948771688e-01
4.650000000000000000e+02 6.619923046174736037e-01
4.660000000000000000e+02 7.178091389975146397e-01
4.670000000000000000e+02 7.710600609894490143e-01
4.680000000000000000e+02 8.217953761477259089e-01
4.690000000000000000e+02 8.700653900267947272e-01
4.700000000000000000e+02 9.159204081811045395e-01
4.710000000000000000e+02 9.594107361651044164e-01
4.720000000000000000e+02 1.000586679533243428e+00
4.730000000000000000e+02 1.039498543839971756e+00
4.740000000000000000e+02 1.076196634639737582e+00
4.750000000000000000e+02 1.110731257486990309e+00
4.760000000000000000e+02 1.143152717936179119e+00
4.770000000000000000e+02 1.173511321541753638e+00
4.780000000000000000e+02 1.201857373858163047e+00
4.790000000000000000e+02 1.228241180439856084e+00
4.800000000000000000e+02 1.252713046841282152e+00
4.810000000000000000e+02 1.275323278616890432e+00
4.820000000000000000e+02 1.296122181321130329e+00
4.830000000000000000e+02 1.315160060508450579e+00
4.840000000000000000e+02 1.332487221733301030e+00
4.850000000000000000e+02 1.348153970550130420e+00
4.860000000000000000e+02 1.362210612513387931e+00
4.870000000000000000e+02 1.374707453177522742e+00
4.880000000000000000e+02 1.385694798096984925e+00
4.890000000000000000e+02 1.395222952826222551e+00
4.900000000000000000e+02 1.403342222919685245e+00
4.910000000000000000e+02 1.410102913931822410e+00
4.920000000000000000e+02 1.415555331417082785e+00
4.930000000000000000e+02 1.419749780929916216e+00
4.940000000000000000e+02 1.422736568024771442e+00
4.950000000000000000e+02 1.424565998256098309e+00
4.960000000000000000e+02 1.425288377178344446e+00
4.970000000000000000e+02 1.424954010345960809e+00
4.980000000000000000e+02 1.423613203313395914e+00
4.990000000000000000e+02 1.421316261635098499e+00
5.000000000000000000e+02 1.418113490865518411e+00
5.010000000000000000e+02 1.414055196559105054e+00
5.020000000000000000e+02 1.409191684270307166e+00
5.030000000000000000e+02 1.403573259553573704e+00
5.040000000000000000e+02 1.397250227963354074e+00
5.050000000000000000e+02 1.390272895054097901e+00
5.060000000000000000e+02 1.382691566380254145e+00
5.070000000000000000e+02 1.374556547496271985e+00
5.080000000000000000e+02 1.365918143956600384e+00
5.090000000000000000e+02 1.356826661315688964e+00
5.100000000000000000e+02 1.347332405127986688e+00
5.110000000000000000e+02 1.337485680947942512e+00
5.120000000000000000e+02 1.327336794330006287e+00
5.130000000000000000e+02 1.316936050828626747e+00
5.140000000000000000e+02 1.306333755998253299e+00
5.150000000000000000e+02 1.295580215393335344e+00
5.160000000000000000e+02 1.284725734568321176e+00
5.170000000000000000e+02 1.273820619077660643e+00
5.180000000000000000e+02 1.262915174475803370e+00
5.190000000000000000e+02 1.252059706317197652e+00
5.200000000000000000e+02 1.241304520156293556e+00
5.210000000000000000e+02 1.230699921547539821e+00
5.220000000000000000e+02 1.220296216045385851e+00
5.230000000000000000e+02 1.210143709204280382e+00
5.240000000000000000e+02 1.200292706578673263e+00
5.250000000000000000e+02 1.190793513723013231e+00
5.260000000000000000e+02 1.181679203927769262e+00
5.270000000000000000e+02 1.172913921427490180e+00
5.280000000000000000e+02 1.164444578192743274e+00
5.290000000000000000e+02 1.156218086194097161e+00
5.300000000000000000e+02 1.148181357402119795e+00
5.310000000000000000e+02 1.140281303787378242e+00
5.320000000000000000e+02 1.132464837320441342e+00
5.330000000000000000e+02 1.124678869971877493e+00
5.340000000000000000e+02 1.116870313712254204e+00
5.350000000000000000e+02 1.108986080512139205e+00
5.360000000000000000e+02 1.100973082342101339e+00
5.370000000000000000e+02 1.092778231172707448e+00
5.380000000000000000e+02 1.084348438974526374e+00
5.390000000000000000e+02 1.075630617718126292e+00
5.400000000000000000e+02 1.066571679374074710e+00
5.410000000000000000e+02 1.057118535912939805e+00
5.420000000000000000e+02 1.047218099305289973e+00
5.430000000000000000e+02 1.036817281521692502e+00
5.440000000000000000e+02 1.025862994532715788e+00
5.450000000000000000e+02 1.014302150308928230e+00
5.460000000000000000e+02 1.002081660820897113e+00
5.470000000000000000e+02 9.891484380391910580e-01
5.480000000000000000e+02 9.754493939343776843e-01
5.490000000000000000e+02 9.609314404770251672e-01
5.500000000000000000e+02 9.455414896377015710e-01
5.510000000000000000e+02 9.292759999079179822e-01
5.520000000000000000e+02 9.123296158629581321e-01
5.530000000000000000e+02 8.949465285990492180e-01
