# wavelength mu_a mu_s diffuse-reflectance pathlength meanscat
4.500000000000000000e+02 6.030746965734485876e-01 1.006041995324295897e+02 2.007581977396240003e-01 1.129481910956785073e+00 1.143079827262377677e+02
4.600000000000000000e+02 3.617902249616126165e-01 9.688901162531209366e+01 2.697419761109030034e-01 1.572318754561500054e+00 1.529077380459438302e+02
4.700000000000000000e+02 2.684135045549088661e-01 9.338656488825922963e+01 3.107432167594407768e-01 1.911986202100378840e+00 1.790670434609806705e+02
4.800000000000000000e+02 2.173175516042394340e-01 9.008053048904253046e+01 3.388261743511370438e-01 2.203113748640980418e+00 1.989366683093534220e+02
4.900000000000000000e+02 1.981777017202836499e-01 8.695613827545189167e+01 3.482028066672450128e-01 2.360458004785215280e+00 2.057236029515112534e+02
5.000000000000000000e+02 1.831681251675650601e-01 8.399999999999992895e+01 3.553440229868722877e-01 2.509386739222025930e+00 2.112471950242688195e+02
5.100000000000000000e+02 1.829228712992394812e-01 8.119995564407531674e+01 3.500381619566327873e-01 2.545837907115907850e+00 2.071867333308511547e+02
5.200000000000000000e+02 2.424412759957424446e-01 7.854493943970700798e+01 2.994295396849250834e-01 2.178126994433600139e+00 1.716072012207097544e+02
5.300000000000000000e+02 3.673241042352638486e-01 7.602486274243265996e+01 2.311949184291418602e-01 1.710481046779481984e+00 1.306673620041026993e+02
5.400000000000000000e+02 4.754931774786486653e-01 7.363051136489681880e+01 1.906761678365196666e-01 1.472767862529344329e+00 1.091447525201784430e+02
5.500000000000000000e+02 4.081744858070030513e-01 7.135345535692705710e+01 2.071750688969576926e-01 1.640138291067354759e+00 1.177026006000517100e+02
5.600000000000000000e+02 3.302179172097868820e-01 6.918596952915625309e+01 2.329133187742531419e-01 1.893594980061166666e+00 1.316318768647130639e+02
5.700000000000000000e+02 4.059223311200113038e-01 6.712096327587363476e+01 1.994822480255918906e-01 1.683955038479955313e+00 1.137144108874244637e+02
5.800000000000000000e+02 4.373958721927563298e-01 6.515191846837082323e+01 1.854974247371749541e-01 1.623933483273072964e+00 1.065125181376773611e+02
5.900000000000000000e+02 1.632135466082914044e-01 6.327283437036573588e+01 3.281131116392757563e-01 3.012686144109836039e+00 1.911096755693273508e+02
6.000000000000000000e+02 6.582818465711035016e-02 6.147817867839222572e+01 4.718686686173967915e-01 5.200124347721999385e+00 3.200394005896469025e+02
6.100000000000000000e+02 4.194332706098865410e-02 5.976284391740581725e+01 5.386351286238334479e-01 6.814855706513671230e+00 4.075560208811539837e+02
6.200000000000000000e+02 2.589282932963903397e-02 5.812210852938223837e+01 6.060499263349602428e-01 9.049959441751104450e+00 5.262326224158854302e+02
6.300000000000000000e+02 1.873293799439063045e-02 5.655160208373339259e+01 6.466703225300538538e-01 1.097298648039946833e+01 6.207324292166700843e+02
6.400000000000000000e+02 1.533891994370560619e-02 5.504727411567500184e+01 6.691805374808241780e-01 1.239717791950552517e+01 6.826112095387514955e+02
6.500000000000000000e+02 1.351250897440673879e-02 5.360536616450303171e+01 6.818335332893703526e-01 1.344396852086756056e+01 7.208415441223407925e+02
6.600000000000000000e+02 1.202049725571130087e-02 5.222238663992677488e+01 6.928875966075300763e-01 1.451036547937689036e+01 7.579383275207886754e+02
6.700000000000000000e+02 1.050426079133756976e-02 5.089508819269651241e+01 7.058719092410524754e-01 1.580240262302954157e+01 8.044252380384270964e+02
6.800000000000000000e+02 9.117262534792567111e-03 4.962044730702136519e+01 7.193531004717890198e-01 1.725551018238272150e+01 8.563709089773122969e+02
6.900000000000000000e+02 8.151128098263083974e-03 4.839564586775481558e+01 7.290525678232753215e-01 1.853741445819804667e+01 8.972638251535398695e+02
7.000000000000000000e+02 7.663736293620407487e-03 4.721805448590980347e+01 7.330616300678921560e-01 1.939424601785368907e+01 9.159017194524493561e+02
7.100000000000000000e+02 7.471874208185004702e-03 4.608521739248760696e+01 7.333122610945350672e-01 1.987427964666589375e+01 9.160426937834887440e+02
7.200000000000000000e+02 7.569848406398344345e-03 4.499483873348003726e+01 7.293010385499704151e-01 1.995706228522305636e+01 8.981056961368651628e+02
7.300000000000000000e+02 7.909484219715956846e-03 4.394477011875358130e+01 7.216655449632943808e-01 1.970481234906153745e+01 8.660641320578870364e+02
7.400000000000000000e+02 8.730357330220197762e-03 4.293299929477876020e+01 7.076776303885444763e-01 1.887456476391306026e+01 8.104994144747740847e+02
7.500000000000000000e+02 9.710286157308236146e-03 4.195763982620051280e+01 6.922208703365130278e-01 1.800006573535083376e+01 7.554034650475142598e+02
7.600000000000000000e+02 1.047632219837226278e-02 4.101692168436565566e+01 6.802178257959876628e-01 1.744615135956519936e+01 7.157588312022518267e+02
7.700000000000000000e+02 1.065332975084306612e-02 4.010918265239664748e+01 6.752800134533616383e-01 1.746128836909342752e+01 7.005363500607876404e+02
7.800000000000000000e+02 1.076995221688516712e-02 3.923286046645191050e+01 6.711833892613635610e-01 1.753524479254003765e+01 6.881381910930944059e+02
7.900000000000000000e+02 1.082675140133232058e-02 3.838648562163511713e+01 6.678016663809646092e-01 1.765273133754828550e+01 6.778086765092457426e+02
8.000000000000000000e+02 1.106982251476392766e-02 3.756867477876988204e+01 6.621087649940914366e-01 1.760706626264022390e+01 6.616647098969855278e+02
8.100000000000000000e+02 1.138378119365447347e-02 3.677812471508698877e+01 6.556950359004067863e-01 1.750699744307566874e+01 6.440621750522558386e+02
8.200000000000000000e+02 1.184064336211234671e-02 3.601360676789487769e+01 6.477640467700054305e-01 1.729527082793044457e+01 6.230567889014917000e+02
8.300000000000000000e+02 1.260923855041827524e-02 3.527396172562668397e+01 6.366638010954471794e-01 1.685424179921695753e+01 5.947259401720782535e+02
8.400000000000000000e+02 1.322009932185163640e-02 3.455809512536696104e+01 6.273453577972646356e-01 1.656749073583900866e+01 5.727551099124241318e+02
8.500000000000000000e+02 1.354594410103318949e-02 3.386497292013483928e+01 6.212442480463948868e-01 1.649712839114149787e+01 5.588840215431877141e+02
8.600000000000000000e+02 1.380285607537500882e-02 3.319361748290516090e+01 6.157936683767175623e-01 1.646868960051000386e+01 5.468751174512048010e+02
8.700000000000000000e+02 1.413930908882515824e-02 3.254310391764150978e+01 6.095029636229919445e-01 1.639466117332604611e+01 5.337658978804109893e+02
8.800000000000000000e+02 1.446766895375706588e-02 3.191255665054608670e+01 6.036691692167031054e-01 1.631837208823028007e+01 5.209895657005228031e+02
8.900000000000000000e+02 1.492173939645905813e-02 3.130114627734356603e+01 5.963701257144561341e-01 1.618157968347359343e+01 5.067395463675838982e+02
9.000000000000000000e+02 1.530738035537335985e-02 3.070808664474740723e+01 5.900505112264510243e-01 1.608074613368325601e+01 4.940527827964818925e+02
9.100000000000000000e+02 1.575589308891765100e-02 3.013263214634109488e+01 5.831021624449804763e-01 1.595529389993306779e+01 4.810224596613363701e+02
9.200000000000000000e+02 1.651709591191969154e-02 2.957407521497100333e+01 5.732948987918499162e-01 1.566893641282415395e+01 4.636563859205980975e+02
9.300000000000000000e+02 1.800271272935113215e-02 2.903174399541855522e+01 5.577865978613270048e-01 1.504119707643884674e+01 4.369467295408317682e+02
9.400000000000000000e+02 2.008837312529467012e-02 2.850500018261748636e+01 5.381689751032404656e-01 1.424952090512444869e+01 4.064691470178354962e+02
9.500000000000000000e+02 2.390871307259818251e-02 2.799323701202878922e+01 5.082679350883193559e-01 1.300282839770473409e+01 3.643053409262056448e+02
